mz,RT,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18
193.0886957,6.153783333,1697200.987,1702221.231,1705805.656,1676134.634,1676568.064,1574311.707,1487054.639,1504849.813,1459796.029,2664116.192,2607032.778,3424451.775,2622591.288,2708011.122,2685809.466,2737987.881,2721584.096,3155325.472,2584212.614,2545222.294,2928898.073,2716342.024,2889248.182,3585911.997,2913669.555,2378557.686,2969337.199
504.3088515,8.828666667,2283207.754,2249565.647,2316351.88,2257315.649,2197482.404,2025488.155,1848223.009,1837437.932,1789742.416,1371110.944,1336771.227,1013583.912,1411959.262,1740443.921,1084004.723,2724114.721,2829452.701,2944861.645,2580730.128,2593803.792,2848495.448,2606632.252,2917524.543,2672678.365,2603119.491,2244711.507,2653631.801
263.0006819,5.79025,101008.4693,100548.5073,102362.1682,88969.83594,98943.2288,73475.60692,70787.18187,70748.93389,62058.86162,67108.74085,60181.46129,48233.44238,61289.52366,50989.7414,44926.01742,99044.32671,117893.2684,117623.7028,93472.47448,96239.68868,101704.4446,57234.43393,69415.28847,60798.28557,68624.20399,57889.97994,54562.38751
545.0170372,7.83615,15753.89197,16553.36343,15403.05021,15412.92841,13780.19356,8483.266357,9630.74207,7494.645091,7829.670307,32824.52509,27720.4169,23505.24776,26104.43566,25287.96707,20897.78296,25294.09373,27266.84741,33573.7597,30797.77268,24339.40477,22215.71631,26926.92347,36469.37704,32382.87252,34259.52212,31680.36102,25803.96443
632.3166122,8.828666667,1442833.96,1417596.67,1443939.595,1412547.011,1370682.059,1310223.973,1143325.292,1172798.254,1089119.016,923462.5241,848619.3172,674154.9347,925245.0828,1083080.611,679012.8457,1654530.031,1724070.54,1700042.568,1579541.068,1536055.02,1613248.648,1591320.286,1690949.271,1587735.436,1560424.231,1369309.608,1540834.626
568.3608399,9.533616667,5686947.135,5464159.678,5749144.952,5437560.709,4885826.299,4879701.032,4428540.358,4520412.004,4096794.903,7634104.663,7554360.102,7289581.33,7737196.416,6560068.375,6936764.18,5840495.72,6476950.781,6646865.156,5876871.334,5443015.686,5033559.189,6444975.078,7073512.32,8270981.965,6837147.102,6390933.108,6701378.275
636.3479386,9.4107,257454.7068,224002.6817,258817.9948,247059.3002,225970.4687,181629.3953,183863.6706,184863.5874,171801.2381,372651.7598,372444.5101,383040.7597,385151.7471,296628.8826,350163.402,267503.7836,286750.5453,314027.6257,253916.1591,253950.1067,252921.5889,303846.4474,347069.8223,434867.7636,356444.1539,322194.1016,349680.6196
339.9834422,6.093933333,142934.2812,131762.7892,109790.672,117615.9275,98394.29645,61631.09219,42268.13051,50600.41068,45590.02468,5700.743458,5106.40713,3953.438935,3803.920018,3856.532127,4785.061631,4753.135699,2310.107786,3375.292692,5259.170983,725.7351021,4088.993621,3318.832573,11343.16806,3899.4029,1193.97169,2639.536513,907.4176098
381.2100018,8.524566667,63069.85111,59695.43607,72667.83176,60867.90845,52553.31503,58742.73132,58912.3877,56725.96604,40925.41197,116344.3206,107336.7161,111747.1039,94288.69216,100819.0499,104800.2339,113014.3637,137406.9619,175861.9407,122333.0107,115869.7004,144938.6131,102237.5804,130675.7089,160608.8002,126205.5862,107447.667,132357.1503
353.0892354,0.63335,14197.49414,9632.739319,10316.8761,6916.874023,10801.7017,8043.174316,10745.44373,10453.34289,11516.66852,0,0,0,0,0,0,0,0,0,290.4495789,0,0,188.1783009,0,0,0.984181156,0,0
295.0590538,6.093933333,84180.32623,77941.48707,73162.73164,69735.69073,65477.62295,38461.76578,28088.22323,28996.76217,29254.82205,0,4.251828461,0,0,254.3920688,0,0,0,0,0,0,0,0,257.4187593,203.1263853,0,0,0
261.0762797,6.153783333,77323.12678,97591.80233,96068.54884,91196.88209,86800.19554,75720.06377,73036.07961,72952.38549,72682.75574,148090.4785,129856.0597,182857.8823,141600.9331,138735.5354,140832.7237,139844.6733,147564.3386,164147.5739,129580.1395,126578.096,152739.4045,143040.7289,147753.6889,187024.2829,154347.5578,123733.5616,161231.9566
508.340141,9.533616667,1562218.643,1512023.582,1577275.641,1485004.753,1358172.984,1341374.986,1218800.092,1252636.792,1129729.354,2111723.577,2102581.38,2043149.334,2167054.683,1792085.27,1928081.798,1622551.611,1775038.374,1844193.004,1634622.372,1510032.925,1409246.26,1767261.961,1942955.761,2321250.386,1930451.969,1789328.175,1897426.553
464.9317571,3.9838,32591.02735,42507.2605,39739.10536,35058.00486,39643.13155,34313.28608,25335.38063,28594.36677,22910.93257,15838.18135,11220.24591,13106.54287,16626.28081,17276.41171,10979.61971,46927.24985,36325.28812,32784.00948,34926.42879,28747.5239,34255.92601,39815.22481,30259.8478,37425.62856,32694.42635,38312.23621,32162.83316
600.9337562,7.83615,36673.29192,34558.77531,41899.43092,25560.82507,32284.7317,40835.95002,25966.64198,31120.27242,18127.72921,83791.34268,60566.08727,61303.16009,67891.69134,68843.01651,65988.23811,67695.35692,66492.54076,84176.72829,62573.27415,65738.13552,74425.82348,68463.6452,72695.09881,66401.25438,70418.28896,57278.18681,64640.53921
348.0049866,3.9838,255720.9825,262590.9699,246266.6226,257838.1484,241237.8745,201757.6107,175964.5168,152665.3461,170132.8273,45414.60905,28446.58872,26063.1694,80218.88812,65137.14861,17876.0475,346373.6992,247822.6701,256814.4071,285321.5886,170067.1521,175468.6,277857.8352,236783.0131,254912.4624,229786.5103,297388.7812,301078.6842
293.9778467,6.093933333,115908.9346,119069.0046,103357.7732,91000.95876,95866.41012,55368.99392,44398.35697,47266.1439,41135.7551,16987.16603,10191.18925,10164.5784,8545.162842,7627.609156,7435.730215,18362.59644,15769.03412,16746.0674,13301.99072,6566.871392,11329.6658,11288.64855,13383.89629,21248.98027,7563.385606,6787.759485,3972.947861
480.3088657,9.548016667,212989.8541,201630.0528,223476.9693,194067.7326,168801.1648,177879.1517,147766.4091,136672.3969,133475.4375,447011.663,447732.2367,443979.1206,350596.3196,303721.0177,620839.1987,185822.5939,179297.1858,209201.708,170746.9294,169912.3758,124610.2524,187537.0628,173288.5812,165273.0142,206731.1598,175861.2429,160027.7322
309.9626864,5.522833333,213451.9058,212247.884,199072.4852,200993.6836,187245.0303,124477.1741,102183.1248,98717.80138,98752.32223,77152.64939,67541.04878,57051.41161,52288.49443,49488.4318,37156.58702,72813.52449,67336.30202,51670.754,52642.37078,44221.90145,39773.8254,65756.08562,62618.35669,54038.58776,48572.79703,38102.09954,39420.98568
459.2796679,9.00625,44044.4648,41045.93117,43874.46024,43975.96804,38257.86197,36292.97535,33079.60938,42796.33692,24115.29259,91317.84053,97868.12081,86482.36736,78819.1727,91241.04755,87344.53133,84370.52942,90512.13082,151665.6302,68604.22319,83415.43682,77279.54149,89410.26707,87249.03223,65245.07173,73085.99487,81102.12604,72030.67484
